passage,criticalsign
13.423,dotteddiple
13.426,diple
13.439,diple
13.456,diple
13.470,diple
13.471,diple
13.474,diple
13.493,diple
13.496,diple
13.502,diple
13.515,diple
13.546,diple
13.548,diple
13.557,diple
13.563,diple
13.564,diple
13.575,diple
13.584,diple
13.610,dotteddiple
13.625,diple
13.626,diple
13.627,dotteddiple
13.629,diple
13.643,diple
13.649,diple
13.657,diple
13.658,obelos
13.659,obelos
13.663,diple
13.681,diple
13.687,diple
13.692,dotteddiple
13.694,diple
13.697,diple
13.707,diple
13.724,diple
13.725,diple
13.734,diple
13.736,diple
13.740,diple
13.745,diple
13.754,diple
13.761,diple
13.764,diple
13.765,diple
13.773,diple
13.777,diple
13.782,diple
13.793,diple
