urn	text	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.725	1.262	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.725	1.262	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.726	1.263	
urn:cts:greekLit:tlg5026.msA.hmt:1.726	1.263	
urn:cts:greekLit:tlg5026.msA.hmt:1.727	1.264	
urn:cts:greekLit:tlg5026.msA.hmt:1.727	1.264	
urn:cts:greekLit:tlg5026.msA.hmt:1.728	1.264	
urn:cts:greekLit:tlg5026.msA.hmt:1.728	1.264	
urn:cts:greekLit:tlg5026.msA.hmt:1.729	1.268	
urn:cts:greekLit:tlg5026.msA.hmt:1.729	1.268	
urn:cts:greekLit:tlg5026.msA.hmt:1.730	1.268	
urn:cts:greekLit:tlg5026.msA.hmt:1.730	1.268	
urn:cts:greekLit:tlg5026.msA.hmt:1.731	1.268	
urn:cts:greekLit:tlg5026.msA.hmt:1.731	1.268	
urn:cts:greekLit:tlg5026.msA.hmt:1.732	1.270	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.732	1.270	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.861	1.271	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.861	1.271	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.733	1.272	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.733	1.272	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.734	1.273	
urn:cts:greekLit:tlg5026.msA.hmt:1.734	1.273	
urn:cts:greekLit:tlg5026.msA.hmt:1.793	1.277	
urn:cts:greekLit:tlg5026.msA.hmt:1.793	1.277	
urn:cts:greekLit:tlg5026.msA.hmt:1.794	1.280-1.281	
urn:cts:greekLit:tlg5026.msA.hmt:1.794	1.280-1.281	
urn:cts:greekLit:tlg5026.msA.hmt:1.795	1.287-1.289	
urn:cts:greekLit:tlg5026.msA.hmt:1.795	1.287-1.289	
urn:cts:greekLit:tlg5026.msA.hmt:1.796	1.280	
urn:cts:greekLit:tlg5026.msA.hmt:1.796	1.280	
